"balkan";"russian";"Points"
"Zakotrljaj loptu";"Покатай мяч";"5"
"Paziti";"Обращайте внимание";"6"
"otvoriti";"открыть";"6"
"dozvoliti";"разрешать";"5"
"Okretanje";"поворот";"5"
"Zabranjeno";"запрещено";"5"
"Mrak";"темнота";"5"
"odstraniti";"удалить";"5"
"Odmah";"сразу";"5"
"Upućuje";"указывает";"5"
"zabrana";"запрет";"5"
"Početka";"начала";"5"
"Država";"государство";"5"
"Odgovornost";"ответственность";"5"
"Ponašanje";"поведение";"5"
"Praćenja";"наблюдение";"5"
"Ispred";"впереди";"5"
"Ja pokušavam";"я питаюсь";"5"
"Namjere";"намерения";"5"
"Ponašanje";"поведение";"5"
"Žene";"женщина";"5"
"Osobe";"люди";"5"
"Ceo";"весь";"5"
"Jurim";"я бежу";"5"
"prošetati";"прогуляться";"5"
"Dođi";"приходи сюда";"5"
"Sramota";"позор";"5"
"Sada";"сейчас";"5"
"Uvijek";"всегда";"5"
"Brige";"Беспокойства";"5"
"Stiže";"придёт";"5"
"Poslovnicu";"Филиал";"5"
"Tanir";"тарелка";"5"
"У Реду";"в порядке";"5"
"vatrogasna";"пожарная";"5"
"Kum";"Крёстный отец";"5"
"Prikini";"прекрати";"5"
"Pića";"напитки";"5"
"Lijekovi";"Медикаменты";"5"
"Zemljištе";"Земельный участок";"5"
"Nailaze";"приближаются";"5"
"Tražite";"вы ищите";"5"
"Pažnju";"внимания";"5"
"Pitanje";"вопроc";"1"
"hteo";"хотел";"1"
"uhapšen";"арестован";"1"
"ovo";"это";"1"
"Dokle";"как долго";"1"
"pritvor";"арест";"1"
"članak";"Статья";"1"
"postavki";"настройки";"1"
"preporuke";"рекомендации";"1"
"Paziti";"следить";"1"
"Ovog";"этово";"1"
"Ovaj";"этот";"1"
"Početak";"начало";"1"
"Buku";"шум";"1"
"Zrak";"воздух";"1"
"Ovdje";"здесь";"1"
"Kamion";"грузовик";"1"
"Domet";"дальность";"1"
"povrće";"овуши";"1"
"Umor";"усталость";"1"
"nepažnja";"невнимательность";"1"
"Zavoj";"поворот";"1"
"Semafor";"светофор";"1"
"Prometnica";"дорога";"1"
"oštetiti";"повредить (машину)";"1"
"Buka";"шум";"1"
"Romobil";"самокат";"1"
"ožujka";"пятница";"1"
"Kutija";"коробка";"1"
"Stablo";"дерево";"1"
"Prozor";"окно";"1"
"Torba";"сумка";"1"
"Stolica";"стул";"1"
"Ometati";"мешать";"1"
"Putnik";"пассажир";"1"
"Tlak";"давление";"1"
"Stvarati";"создаёт";"1"
"Namerno";"специально";"1"
"ћерка";"дочка";"1"
"Suze";"слёзы";"1"
"žalostan";"грустный";"1"
"odmor";"отдых";"1"
"Udarna";"главная";"1"
"Dobar uzor";"хороший пример";"1"
"Rat";"война";"1"
"Isti dan";"тот же день";"1"
"Oditi";"уйти";"1"
"nastaviće se";"продолжается";"1"
"Deo";"часть";"1"
"čueш";"слышишь";"1"
"kokoška";"курица";"1"
"Srećna";"Счастливого";"1"
"Istok";"восток";"1"
"nažalost";"к сожалению";"1"
"Toliko";"на столько";"1"
"Volite";"любите";"1"
"Kruna";"корона";"1"
"Napeto";"напряжённо";"1"
"Rođendan";"день рождение";"1"
"Kiša";"дождь";"1"
"Danas";"сегодня";"1"
"Glasnoća";"громкость";"1"
"očekivati";"ожидать";"1"
"мoga";"моего";"1"
"Pločicama";"керамически плитки";"1"
"Naljepnica";"наклейка";"1"
"nastati";"возникнуть";"1"
"Natrag";"назад";"1"
"Umor";"усталость";"1"
"Tijekom";"в течении";"1"
"Očituje";"показывается";"1"
"Popušta";"снижается";"1"
"Zapažanje";"замечание";"1"
"Nepažnja";"невнимательность";"1"
"Tračnica";"железная дорога";"1"
"Doći";"прийти";"1"
"pogodi";"угадай";"1"
"Cik";"давай";"1"
"Nisi u pravu";"ты не прав";"1"
"Korak";"шаг";"0"
"Uloga";"Роль";"0"
